T_level,user_id,input_path,output_path,status,error,input_words,output_words,model
T5,user_04d29f9c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_04d29f9c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_04d29f9c.txt,ok,,3707,346,gpt-4o-mini
T5,user_04d8419e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_04d8419e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_04d8419e.txt,ok,,5557,350,gpt-4o-mini
T6,user_0168255c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_0168255c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_0168255c.txt,ok,,4659,376,gpt-4o-mini
T6,user_02016939,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_02016939.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_02016939.txt,ok,,5196,341,gpt-4o-mini
T6,user_0285dee3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_0285dee3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_0285dee3.txt,ok,,2913,337,gpt-4o-mini
T6,user_02d03e8a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_02d03e8a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_02d03e8a.txt,ok,,6107,314,gpt-4o-mini
T6,user_02d8a1f8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_02d8a1f8.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_02d8a1f8.txt,ok,,3476,319,gpt-4o-mini
T6,user_02fecea2,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_02fecea2.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_02fecea2.txt,ok,,3027,365,gpt-4o-mini
T6,user_03410579,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_03410579.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_03410579.txt,ok,,8321,389,gpt-4o-mini
T6,user_043ea160,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_043ea160.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_043ea160.txt,ok,,8449,321,gpt-4o-mini
T6,user_04d29f9c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_04d29f9c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_04d29f9c.txt,ok,,6030,349,gpt-4o-mini
T6,user_04d8419e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T6/user_04d8419e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T6/user_04d8419e.txt,ok,,11140,379,gpt-4o-mini
T7,user_0168255c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_0168255c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_0168255c.txt,ok,,11562,352,gpt-4o-mini
T7,user_02016939,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_02016939.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_02016939.txt,ok,,10527,365,gpt-4o-mini
T7,user_0285dee3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_0285dee3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_0285dee3.txt,ok,,7911,334,gpt-4o-mini
T7,user_02d03e8a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_02d03e8a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_02d03e8a.txt,ok,,15068,344,gpt-4o-mini
T7,user_02d8a1f8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_02d8a1f8.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_02d8a1f8.txt,ok,,7246,322,gpt-4o-mini
T7,user_02fecea2,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_02fecea2.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_02fecea2.txt,ok,,7939,358,gpt-4o-mini
T7,user_03410579,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_03410579.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_03410579.txt,ok,,22682,395,gpt-4o-mini
T7,user_043ea160,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_043ea160.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_043ea160.txt,ok,,21426,319,gpt-4o-mini
T7,user_04d29f9c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_04d29f9c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_04d29f9c.txt,ok,,11844,387,gpt-4o-mini
T7,user_04d8419e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T7/user_04d8419e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T7/user_04d8419e.txt,ok,,23761,364,gpt-4o-mini
T8,user_0168255c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_0168255c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_0168255c.txt,skipped_existing,,11562,343,gpt-4o-mini
T8,user_02016939,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_02016939.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_02016939.txt,skipped_existing,,10527,392,gpt-4o-mini
T8,user_0285dee3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_0285dee3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_0285dee3.txt,skipped_existing,,7911,359,gpt-4o-mini
