user_id,input_path,output_path,status,error,original_input_words,sent_input_words,was_truncated,output_words,model
user_111cfe7d,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_111cfe7d.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_111cfe7d.txt,skipped_existing,,21060,21060,0,412,gpt-4o-mini
user_11e8421f,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_11e8421f.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_11e8421f.txt,skipped_existing,,34524,25000,1,309,gpt-4o-mini
user_1230e05a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_1230e05a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_1230e05a.txt,skipped_existing,,48724,25000,1,389,gpt-4o-mini
user_1232c39b,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_1232c39b.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_1232c39b.txt,skipped_existing,,8334,8334,0,380,gpt-4o-mini
user_124651ff,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_124651ff.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_124651ff.txt,skipped_existing,,7827,7827,0,364,gpt-4o-mini
user_1246b252,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_1246b252.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_1246b252.txt,skipped_existing,,22607,22607,0,321,gpt-4o-mini
user_126670d7,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_126670d7.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_126670d7.txt,skipped_existing,,14341,14341,0,351,gpt-4o-mini
user_1302cb61,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_1302cb61.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_1302cb61.txt,skipped_existing,,15665,15665,0,361,gpt-4o-mini
user_13f8ee07,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_13f8ee07.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_13f8ee07.txt,skipped_existing,,6795,6795,0,282,gpt-4o-mini
user_13fb2e34,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_13fb2e34.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_13fb2e34.txt,skipped_existing,,11067,11067,0,372,gpt-4o-mini
